Experiment,Solver,Num Features,Time (ms),Train Error (%),Loss,Loss/2
Amazon,Exact,1024,186149,15.9,0.4675666294,0.2337833147
Amazon,Block,1024,894313,15.9,0.4675666294,0.2337833147
Amazon,LS - LBFGS,1024,33704,15.5,0.4833497961,0.2416748981
Amazon,Exact,2048,690558,14.5,0.4343235648,0.2171617824
Amazon,Block,2048,1756617,14.4,0.4349389635,0.2174694817
Amazon,LS - LBFGS,2048,33643,13.9,0.4512289158,0.2256144579
Amazon,Block,4096,3476561,13,0.4045493394,0.2022746697
Amazon,LS - LBFGS,4096,40606,12.7,0.4208100192,0.2104050096
Amazon,Block,8192,6889505,12.1,0.3886991737,0.1943495868
Amazon,LS - LBFGS,8192,45407,11.9,0.4045554759,0.2022777379
Amazon,Block,16384,13631976,11.4,0.3761958693,0.1880979346
Amazon,LS - LBFGS,16384,52290,11.4,0.3958041617,0.1979020809
TIMIT,Exact,1024,7323,50.42190579,1.584064323,0.7920321614
TIMIT,Block,1024,33521,50.42190579,1.584064323,0.7920321614
TIMIT,LS - LBFGS,1024,70396,50.40627225,1.583816101,0.7919080506
TIMIT,Exact,2048,17949,46.04677894,1.490036052,0.7450180261
TIMIT,Block,2048,61395,46.22247864,1.499799737,0.7498998685
TIMIT,LS - LBFGS,2048,98834,46.32929304,1.497731196,0.7488655978
TIMIT,Exact,4096,76562,42.15900112,1.400043524,0.7000217618
TIMIT,Block,4096,120998,42.52203686,1.414037154,0.7070185769
TIMIT,LS - LBFGS,4096,259498,43.25974465,1.41154238,0.7057711902
TIMIT,Exact,8192,315183,38.63821184,1.314324568,0.6571622842
TIMIT,Block,8192,255570,39.12005362,1.336486736,0.6682433679
TIMIT,LS - LBFGS,8192,810286,40.81220695,1.341040478,0.6705202388
TIMIT,Block,16384,580555,35.73174973,1.265805335,0.6329026676
TIMIT,LS - LBFGS,16384,1589308,39.58150961,1.293037819,0.6465189093
